codArt;nomArt;alto_cm;ancho_cm;largo _cm;Peso_kg;Ubicación
NOR003;ERTAPENEM 1G POLVO LIOFILIZADO A SOLUCION INYECTABLE;7,00;3,5;15,5;226,00;Comerciales
LG0164;VALSARTAN + AMLODIPINO 160MG+10MG TABLETA RECUBIERTA;7,00;3,5;12,8;32,00;Carga Seca
HB0056;DOCETAXEL 80MG/2ML (40MG/ML) SOLUCION INYECTABLE;7,00;3,5;3,5;22,00;Comerciales
AP0066;CITARABINA 500MG/10ML (50MG/ML) SOLUCION INYECTABLE;7,00;3,5;3,5;23,00;Comerciales
DR0007;DAPTOMICINA 350MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;7,00;3,5;4,4;28,00;Cadena de Frio
BU0015;PODOFILINA 20G/100ML (20%) SUSPENSION TOPICA;6,7;3,5;3,5;16,00;Carga Seca
RE0023;CEFRADINA 500MG CAPSULA;6,5;3,5;8,2;30,00;Carga Seca
FR0086;ETORICOXIB 120MG TABLETA RECUBIERTA;6,5;3,5;12,00;12,00;Carga Seca
GH0008;PIRIDOSTIGMINA 60MG TABLETA;6,00;3,5;3,5;44,00;Carga Seca
LG0077;APOMORFINA 100MG/20ML (5MG/ML) SOLUCION INYECTABLE;6,00;3,5;15;221,00;Comerciales
SG0039;VITAMINA D3 + MAGNESIO 2.000UI+80MG TABLETA MASTICABLE;5,7;3,5;3,5;22,00;Carga Seca
LP0005;ASCORBICO ACIDO + FUMARATO FERROSO + FOLICO ACIDO 70MG+60MG+0,4MG TABLETA RECUBIERTA;5,5;3,5;3,5;29;Carga Seca
GR0058;BUDESONIDA 50MCG/DOSIS SUSPENSION PARA INHALACION;5,5;3,5;9,5;43,00;Carga Seca
LG0133;OXICODONA 10MG TABLETA DE LIBERACION PROLONGADA;5,5;3,5;6,5;18,00;Controlados
FN0073;IBANDRONICO ACIDO 6MG/6ML (1MG/ML) SOLUCION INYECTABLE;5,5;3,5;3,5;25,00;Comerciales
SG0100;VITAMINA D3 + MAGNESIO 1.000UI+80MG TABLETA MASTICABLE;5,5;3,5;3,5;22,00;Carga Seca
MT0009;PROPILTIURACILO 50MG TABLETA;5,2;3,5;8,3;31,00;Carga Seca
BP0089;SIMETICONA + CITRATO DE ALVERINA 300MG+60MG CAPSULA BLANDA;5,00;3,5;8,7;31,00;Comerciales
BR0032;APIXABAN 2,5MG TABLETA RECUBIERTA;5,00;3,5;12,5;39,00;Comerciales
LF0180;CLOTRIMAZOL + CLINDAMICINA 200MG+100MG OVULO VAGINAL;5,00;3,5;16,00;31,00;Carga Seca
SVP051;IRINOTECAN 100MG/5ML (20MG/ML) SOLUCION INYECTABLE;5,00;3,5;3,5;16,00;Comerciales
XN0042;APIXABAN 5MG TABLETA RECUBIERTA;4,5;3,5;8;30,00;Comerciales
GF0006;ACICLOVIR 200MG TABLETA;4,5;3,5;8,5;18,00;Carga Seca
BU0056;SIMETICONA + MOSAPRIDA 125MG+5MG TABLETA;4,5;3,5;10,5;38,00;Carga Seca
HU0076;PILOCARPINA 5MG TABLETA RECUBIERTA;4,5;3,5;3,5;14,00;Carga Seca
THE005;BOSENTAN 62,5MG TABLETA RECUBIERTA;4,5;3,5;11;29,00;Comerciales
LF0310;TADALAFILO 5MG TABLETA RECUBIERTA;4,5;3,5;10,5;14,00;Carga Seca
LP0140;LOSARTAN + HIDROCLOROTIAZIDA 100MG+25MG TABLETA RECUBIERTA;4,5;3,5;10,00;40,00;Carga Seca
FR0029;SITAGLIPTINA 50MG TABLETA RECUBIERTA;4,2;3,5;10;19,00;Carga Seca
GNL002;LACOSAMIDA 100MG TABLETA;4,2;3,5;10,5;23;Carga Seca
LS0156;OLANZAPINA 10MG TABLETA;4,00;3,5;9,7;33,00;Carga Seca
NO0031;LETROZOL 2,5MG COMPRIMIDO;4,00;3,5;8,5;16,00;Comerciales
FR0104;SITAGLIPTINA 100MG TABLETA RECUBIERTA;4,,3;3,5;10,2;16,00;Carga Seca
GF0080;DICLOFENACO 1G/100G (1%) GEL TOPICO;3,5;3,5;16,00;65,00;Carga Seca
GF0069;CLOTRIMAZOL + NEOMICINA + BETAMETASONA (1G+0,5G+0,04G) /100G CREMA TOPICA;3,5;3,5;16,00;56,00;Carga Seca
GF0266;BETAMETASONA 0,05G/100G (0,05%) CREMA TOPICA;3,5;3,5;15,00;59,00;Carga Seca
GF0037;BETAMETASONA 0,1G/100G (0,1%) CREMA TOPICA;3,5;3,5;15,00;58,00;Carga Seca
GF0171;PIROXICAM 05,G/100G (0,5%) GEL TOPICO;3,5;3,5;15,00;58,00;Carga Seca
SLM005;ACETAMINOFEN (PARACETAMOL) 1.000MG/6,7ML (149,25MG/ML) SOLUCION INYECTABLE;3,5;3,5;9,5;20,00;Carga Seca
LF0334;CLOBETASOL 0,05G/100G (0,05%) CREMA TOPICA;3,2;3,5;16,00;53,00;Carga Seca
FK0054;DEXTROSA (10%) EN AGUA DESTILADA SOLUCION INYECTABLE X 500ML;26,5;3,5;14,5;553;Carga Seca
FR0070;SITAGLIPTINA 25MG TABLETA RECUBIERTA;20,2;3,5;4,2;13,00;Carga Seca
LQ0075;ACICLOVIR 5G/100G (5%) CREMA TOPICA;2,2;3,5;13;24,00;Carga Seca
LB0057;NISTATINA + ZINC OXIDO  (10.000.000UI+20G) /100G CREMA TOPICA;17,00;3,5;3,5;73,00;Carga Seca
SG0032;DESONIDA 0,05G/100ML (0,05%) EMULSION TOPICA;16,5;3,5;6;158,00;Carga Seca
CI0047;FLUTICASONA + SALMETEROL (250MCG+50MCG) /DOSIS POLVO PARA INHALACION;16,3;3,5;13,2;95,00;Carga Seca
BH0053;PRAMIPEXOL 1,5MG COMPRIMIDO DE LIBERACION PROLONGADA;14,5;3,5;9;44,00;Comerciales
JN0049;PALIPERIDONA 150MG/1,5ML (100MG/ML) SUSPENSION INYECTABLE;12,50;3,5;19,00;102,00;Comerciales
PF0136;VENLAFAXINA 75MG CAPSULA DE LIBERACION PROLONGADA;12,5;3,5;5,00;24,00;Carga Seca
NV0103;FUMARATO FERROSO + ÁCIDO ASCÓRBICO + ÁCIDO FÓLICO + CIANOCOBALAMINA 330MG+100MG+2MG+1MG CAPSULA;12,5;3,5;11;51,00;Carga Seca
FR0013;APREPITANT CAPSULA DE 125MG - DOS CAPSULAS 80MG;12,00;3,5;6,5;12,00;Carga Seca
PA0026;ALUMINIO HIDROXIDO  + MAGNESIO + SIMETICONA (4G+4G+0,4G) /100ML SUSPENSION ORAL;11,5;3,5;5,5;189,00;Carga Seca
BH0090;TELMISARTAN + HIDROCLOROTIAZIDA 80MG+25MG TABLETA;11,3;3,5;7,00;48,00;Carga Seca
QB0001;FOSFATO SODIO MONOBASICO + FOSFATO SODIO DIBASICO (16G+6G) /100ML SOLUCION ORAL;10,5;3,5;6,00;174,00;Carga Seca
WT0012;CETIRIZINA 10MG/ML (1%) SOLUCION ORAL;10,00;3,5;3,5;29,00;Carga Seca
GL0112;SALBUTAMOL 100MCG/DOSIS SUSPENSION PARA INHALACION;10,00;3,5;5,7;49,00;Carga Seca
LG0168;VALSARTAN + HIDROCLOROTIAZIDA + AMLODIPINO 160MG+12,5MG+10MG TABLETA RECUBIERTA;9;3,5;11,5;38;Carga Seca
LG0167;VALSARTAN + AMLODIPINO 160MG+5MG TABLETA;9;3,5;11,5;32;Carga Seca
XN0034;TOLTERODINA 2MG CAPSULA DE LIBERACION EXTENDIDA;8,80;3,40;14,7;34,00;Carga Seca
AN0020;HIDROXICINA 25MG TABLETA RECUBIERTA;8,50;3,40;12,90;97,00;Carga Seca
MK0047;CLINDAMICINA 2G/100G (2%) CREMA VAGINAL;8,40;3,40;17,10;100,00;Carga Seca
GF0072;COMPLEJO B + NICOTINAMIDA (B1+B2+B6) + 50MG TABLETA RECUBIERTA;8,10;3,40;13,60;110,00;Carga Seca
LS0197;LACOSAMIDA 200MG TABLETA;6,70;3,40;9,20;35,00;Carga Seca
DB0013;METFORMINA 500MG TABLETA DE LIBERACION PROLONGADA;6,50;3,40;9,00;43,00;Carga Seca
DR0023;BEVACIZUMAB 100MG/4ML (25MG/ML) SOLUCION CONCENTRADA PARA INFUSION;6,1;3,40;3,60;26,00;Cadena de Frio
GL0019;LAMOTRIGINA 100MG TABLETA DISPERSABLE;6,00;3,40;11,50;26,00;Carga Seca
GL0101;DENOSUMAB 60MG/ML SOLUCION INYECTABLE;4,90;3,40;15,10;36,00;Cadena de Frio
PF0078;PREGABALINA 150MG CAPSULA;4,90;3,40;12,40;22,00;Carga Seca
FR0021;SITAGLIPTINA 100MG TABLETA RECUBIERTA;4,20;3,40;10,10;25,00;Carga Seca
BL0042;MOMETASONA 0,05G/100ML (0,05%) SUSPENSION NASAL;11,50;3,40;3,40;31,00;Carga Seca
AL0030;POLIETILENGLICOL + PROPILENGLICOL (4MG+3MG) /ML SOLUCION OFTALMICA;9,00;3,4;4,5;25,00;Carga Seca
VT0094;HIERRO SACARATO 100MG/5ML (20MG/ML) SOLUCION INYECTABLE;7,5;3,4;7,7;104,00;Carga Seca
BY0062;LEVONORGESTREL 52MG DISPOSIVO INTRAUTERINO;7,06;3,4;37,50;91,00;Comerciales
PF0093;ALPROSTADIL 20MCG POLVO LIOFILIZADO A SOLUCION INYECTABLE;5,8;3,4;13,7;37,00;Carga Seca
EUF045;BETAHISTINA 24MG TABLETA;9,00;3,30;5,40;22,00;Carga Seca
NV0111;AMOXICILINA + CLAVULANICO ACIDO 500MG+125MG TABLETA RECUBIERTA;8,70;3,30;10,00;35,00;Carga Seca
AN0030;ENALAPRIL 20MG TABLETA;8,00;3,30;12;74,00;Carga Seca
GD0015;LIMECICLINA 300MG CAPSULA;8,00;3,30;11,20;26,00;Carga Seca
NO0072;FINGOLIMOD 0,5MG CAPSULA;7,80;3,30;10,70;28,00;Comerciales
GNL004;LACOSAMIDA 200MG/20ML (10MG/ML) SOLUCION INYECTABLE;7,30;3,30;3,50;43,00;Comerciales
LG0114;ACETAMINOFEN + HIDROCODONA 325MG+7,5MG TABLETA RECUBIERTA;6,50;3,30;8,50;37,00;Carga Seca
GF0412;DIACEREINA 50MG CAPSULA;6,50;3,30;8,40;23,00;Carga Seca
LG0018;PREGABALINA 150MG CAPSULA;6,50;3,30;8,50;23,00;Carga Seca
DB0006;METFORMINA + GLIMEPIRIDA 1.000MG+4MG COMPRIMIDO RECUBIERTO;6,50;3,30;9,00;48,00;Carga Seca
LG0029;PREGABALINA 75MG CAPSULA;6,50;3,30;8,50;19,00;Carga Seca
GF0410;LACOSAMIDA 200MG TABLETA RECUBIERTA;6,50;3,30;8,20;28,00;Carga Seca
SER013;DIOSMINA + HESPERIDINA 900MG+100MG TABLETA RECUBIERTA;6,5;3,30;12;61,00;Carga Seca
TE0246;VALACICLOVIR 1G TABLETA RECUBIERTA;6,40;3,30;8,50;43,00;Comerciales
GL0020;LAMOTRIGINA 200MG TABLETA DISPERSABLE;6,20;3,30;11,50;34,00;Carga Seca
GL0021;LAMOTRIGINA 25MG TABLETA;6,20;3,30;11,50;21,00;Carga Seca
RM0019;ZINC OXIDO + CALAMINA (5G+5G) /100G CREMA TOPICA;6,00;3,30;17,00;83,00;Carga Seca
NK0012;SEMAGLUTIDA 4,02MG/3ML (1,34MG/ML) SOLUCION INYECTABLE;5,80;3,30;15,30;74,00;Cadena de Frio
AP0038;BLEOMICINA 15UI POLVO LIOFILIZADO A SOLUCION INYECTABLE;5,70;3,30;3,30;15,00;Cadena de Frio
NVX001;METRONIDAZOL + NIFUROXAZIDA 600MG+200MG CAPSULA;4,70;3,30;10,20;31,00;Carga Seca
NK0004;INSULINA DEGLUDEC 300UI/3ML (100UI/ML) SOLUCION INYECTABLE;16,30;3,30;5,90;61,00;Cadena de Frio
NK0008;INSULINA DEGLUDEC + LIRAGLUTIDA (300UI+10,8) /3ML (100UI+3,6MG) /ML SOLUCION INYECTABLE;16,30;3,30;5,80;64,00;Cadena de Frio
JN0027;RISPERIDONA 37,5MG POLVO A SOLUCION INYECTABLE;13,00;3,30;19,60;100,00;Cadena de Frio
BIO004;BECLOMETASONA 50MCG SOLUCION PARA INHALACION NASAL;9,5;3,3;5,5;45,00;Carga Seca
GL0088;FLUTICASONA PROPIONATO 50MCG/DOSIS SUSPENSION PARA INHALACION;9,00;3,3;5,3;37,00;Carga Seca
EC0054;NITROPRUSIATO 50MG/2ML (25MG/ML) SOLUCION INYECTABLE;8,5;3,3;4,00;21,00;Carga Seca
HU0006;HALOPERIDOL 2MG/ML SOLUCION ORAL;8,00;3,3;3,3;32,00;Carga Seca
GL0104;PAROXETINA 12,5MG TABLETA DE LIBERACION CONTROLADA;7,00;3,3;13,4;24,00;Carga Seca
LG0034;ACETAMINOFEN + HIDROCODONA 325MG+5MG TABLETA;6,5;3,3;8,5;36,00;Carga Seca
BY0004;ACETIL SALICILICO ACIDO 100MG TABLETA RECUBIERTA;6,2;3,3;13,3;29,00;Carga Seca
HB0013;TOPOTECAN 4MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;6,2;3,3;3,00;19,00;Comerciales
GLM007;BUDESONIDA 0,5MG/ML SUSPENSION PARA INHALACION;6,05;3,3;19,5;42,00;Comerciales
RE0016;BISACODILO 5MG TABLETA RECUBIERTA;4,00;3,3;8,5;16,00;Carga Seca
AN0053;KETOCONAZOL 2G/100G (2%) CREMA TOPICA;3,3;3,3;15,5;43,00;Carga Seca
RM0028;FILGRASTIM 300MCG/ML SOLUCION INYECTABLE;2,5;3,3;15,6;200,00;Cadena de Frio
BP0088;BRIVARACETAM 50MG/5ML (10MG/ML) SOLUCION INYECTABLE;17,70;3,3;18,5;242,00;Comerciales
LC0016;MINOXIDIL 5G/100ML (5%) LOCION TOPICA;15,00;3,3;12,4;101,00;Carga Seca
SP0003;HIALURONATO DE SODIO 4MG/ML (0.4%) SOLUCION OFTALMICA;13,00;3,3;12,4;55,00;Carga Seca
AL0022;POLIETILENGLICOL + PROPILENGLICOL (4MG+3MG) /ML SOLUCION OFTALMICA;10,00;3,3;4,5;31,00;Carga Seca
VT0075;REMIFENTANILO 2MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;8,80;3,20;16,50;79,00;Controlados
SVP010;QUETIAPINA 300MG TABLETA RECUBIERTA;8,70;3,20;16;52,00;Carga Seca
LC0009;DIFENHIDRAMINA 50MG/5ML (10MG/ML) SOLUCION INYECTABLE;8,50;3,20;11,5;103,00;Carga Seca
PX0134;FEBUXOSTAT 80MG CAPSULA BLANDA;7,70;3,20;16,00;43,00;Carga Seca
SM0012;VINORELBINA 50MG/5ML (10MG/ML) SOLUCION INYECTABLE;7,60;3,20;4,10;24,00;Cadena de Frio
SM0029;VINCRISTINA 1MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;7,60;3,20;4,10;21,00;Cadena de Frio
EUP004;DUTASTERIDA 0,5MG CAPSULA BLANDA;6,50;3,20;8,70;37,00;Carga Seca
LG0024;VALSARTAN 320MG TABLETA RECUBIERTA;6,50;3,20;8,50;36,00;Carga Seca
PF0187;PREGABALINA 300MG CAPSULA;6,40;3,20;8,70;38,00;Comerciales
IC0019;MOXIFLOXACINO 5MG/ML (0,5%) SOLUCION OFTALMICA;5,80;3,20;3,20;13,00;Carga Seca
PX0165;COLECALCIFEROL (VITAMINA D3) 2.000UI CAPSULA BLANDA;5,10;3,20;8,50;18,00;Carga Seca
MR0016;METFORMINA 850MG TABLETA RECUBIERTA;5,00;3,20;12,20;42,00;Carga Seca
ASP009;ZINC OXIDO+ LIDOCAINA + SUBACETATO DE ALUMINIO + HIDROCORTISONA (18MG+5MG+3,5MG+0,25MG) /100G UNG;3,20;3,20;12,50;36,00;Cadena de Frio
NO0070;RANIBIZUMAB 2,3MG/0,23ML (10MG/ML) SOLUCION INYECTABLE;3,20;3,20;14,50;44,00;Cadena de Frio
BP0019;CERTOLIZUMAB 200MG/ML SOLUCION INYECTABLE;20,60;3,20;16,10;144,00;Cadena de Frio
RM0005;CLOBETASOL 0,05G/100ML (0,05%) LOCION TOPICA;11,60;3,20;5,70;81,00;Carga Seca
BL0015;FLUTICASONA PROPIONATO 0,05G/100ML (0,05%) SUSPENSION NASAL;11,50;3,20;3,40;30,00;Carga Seca
BH0078;TELMISARTAN 40MG COMPRIMIDO;11,10;3,20;6,10;26,00;Carga Seca
ORG003;MOMETASONA 0,5MG/ML (0,05%) SUSPENSION NASAL;10,20;3,20;4,30;32,00;Carga Seca
PR0053;MILRINONA 10MG/10ML (1MG/ML) SOLUCION INYECTABLE;10,00;3,20;15,20;183,00;Carga Seca
LP0019;CLOTRIMAZOL 1G/100ML (1%) SOLUCION TOPICA;9,00;3,2;3,2;40,00;Carga Seca
XN0014;TIGECICLINA 50MG POLVO A SOLUCION INYECTABLE;8,5;3,2;5,5;23,00;Carga Seca
AL0064;POLIETILENGLICOL + PROPILENGLICOL + HIALURONATO DE SODIO (4MG+3MG+1,5MG) /ML SOLUCION OFTALMICA;8,3;3,2;4,7;25,00;Carga Seca
AL0106;PROPILENGLICOL 6MG/ML (0,6%) EMULSION OFTALMICA;8,3;3,2;4,7;24,00;Carga Seca
LP0128;LOVASTATINA 20MG TABLETA;8,2;3,2;17,00;140,00;Carga Seca
LP0007;ALBENDAZOL 200MG TABLETA;8,00;3,2;17,00;76,00;Carga Seca
LP0061;FLUOXETINA 20MG TABLETA RECUBIERTA;8,00;3,2;17,3;118,00;Carga Seca
LP0024;DINITRATO DE ISOSORBIDE 10MG TABLETA;8,00;3,2;17,00;118,00;Carga Seca
LQ0198;DEFLAZACORT 6MG TABLETA;8,00;3,2;12,00;68,00;Carga Seca
EC0063;PICOSULFATO 7,5MG/ML SOLUCION ORAL;7,8;3,2;3,2;29,00;Carga Seca
RC0053;CEFTRIAXONA 1G POLVO A SOLUCION INYECTABLE;7,50;3,2;8,5;48,00;Carga Seca
NOR005;PIPERACILINA + TAZOBACTAM 4G+0,5G POLVO A SOLUCION INYECTABLE;7,3;3,2;3,2;41,00;Carga Seca
AP0044;FOLINATO DE CALCIO 50MG POLVO A SOLUCION INYECTABLE;7,2;3,2;3,2;19,00;Carga Seca
BL0070;CETIRIZINA 10MG/ML (1%) SOLUCION ORAL;7,2;3,2;3,2;26,00;Carga Seca
GL0106;PAROXETINA 25MG TABLETA;7,00;3,2;13,5;24,00;Carga Seca
MR0057;SACCHAROMYCES BOULARDII 250MG POLVO A SUSPENSION ORAL;6,8;3,2;7,5;32,00;Carga Seca
GL0064;SALBUTAMOL 5MG/ML SOLUCION PARA INHALACION;6,7;3,2;3,2;46,00;Carga Seca
LG0162;VALSARTAN 320MG TABLETA RECUBIERTA;6,5;3,2;8,7;35,00;Carga Seca
VT0099;GANCICLOVIR 500MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;6,5;3,2;3,2;17,00;Carga Seca
SVP064;BORTEZOMIB 3,5MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;6,5;3,2;3,00;15,00;Comerciales
SVP057;IRBESARTAN 300MG TABLETA RECUBIERTA;5,00;3,2;8,5;25,00;Carga Seca
PF0079;PREGABALINA 300MG CAPSULA;5,00;3,2;12,00;29,00;Comerciales
BU0014;PERMETRINA 5G/100G (5%) CREMA TOPICA;4,3;3,2;19,00;78,00;Carga Seca
GF0151;MOMETASONA 0,1G/100G (0,1%) CREMA TOPICA;3,00;3,2;13,5;25,00;Carga Seca
GF0199;TERBINAFINA 1G/100G (1%) CREMA TOPICA;3,00;3,2;13,5;30,00;Carga Seca
GF0270;SULFADIAZINA PLATA 1G/100G (1%) CREMA TOPICA;3,00;3,2;13,5;42,00;Carga Seca
LP0158;CLOBETASOL 0,05G/100G (0,05%) CREMA TOPICA;3,00;3,2;14,00;43,00;Carga Seca
GF0008;ACICLOVIR 5G/100G (5%) UNGUENTO TOPICO;2,8;3,2;13,5;26,00;Carga Seca
LQ0043;KETOCONAZOL 2G/100ML (2%) EMULSION TOPICA - SHAMPOO;15,5;3,2;6,5;138,00;Carga Seca
BH0025;TELMISARTAN 80MG COMPRIMIDO;11,2;3,2;6,2;33,00;Carga Seca
AL0029;POLIETILENGLICOL + PROPILENGLICOL (4MG+3MG) /ML GEL OFTALMICO;10,00;3,2;4,5;25,00;Carga Seca
AL0065;PROPILENGLICOL 6MG/ML (0,6%) EMULSION OFTALMICA;10,00;3,2;4,7;25,00;Carga Seca
CH0031;BUDESONIDA 50MCG/DOSIS SOLUCION PARA INHALACION;9,70;3,10;5,10;40,00;Carga Seca
AMG009;EVOLOCUMAB 140MG/ML SOLUCION INYECTABLE;9,50;3,10;17,00;120,00;Cadena de Frio
PX0174;NIFEDIPINO 60MG TABLETA RECUBIERTA DE LIBERACION CONTROLADA;7,70;3,10;15,80;45,00;Carga Seca
PF0152;METILPREDNISOLONA 200MG/5ML (40MG/ML) SUSPENSION INYECTABLE;6,90;3,10;3,00;22,00;Carga Seca
TE0286;PANTOPRAZOL 40MG TABLETA DE LIBERACION RETARDADA;6,70;3,10;12,40;26,00;Comerciales
MK0325;ATORVASTATINA 40MG TABLETA RECUBIERTA;6,70;3,10;12,50;37,00;Comerciales
PX0283;ATORVASTATINA 40MG TABLETA RECUBIERTA;6,70;3,10;12,50;37,00;Comerciales
LB0072;ATORVASTATINA 20MG TABLETA;6,70;3,10;12,50;30,00;Comerciales
LS0030;CLINDAMICINA 300MG CAPSULA;6,50;3,10;8,50;30,00;Carga Seca
VAR004;TRIMEBUTINA + SIMETICONA 200MG+120MG TABLETA;6,50;3,10;8,70;38,00;Comerciales
HU0098;TOXINA BOTULINICA TIPO A 50UI POLVO LIOFILIZADO A SOLUCION INYECTABLE;6,00;3,10;4,20;28,00;Cadena de Frio
AP0013;DOXORUBICINA 10MG/5ML (2MG/ML) SOLUCION INYECTABLE;5,60;3,10;3,10;20,00;Cadena de Frio
PHL009;METOTREXATO 7,5MG/0,15ML SOLUCION INYECTABLE;5,50;3,10;17,20;28,00;Comerciales
CO0028;SIMVASTATINA + EZETIMIBE 20MG+10MG CAPSULA BLANDA;5,20;3,10;8,30;24,00;Carga Seca
PX0090;TOCOFEROL (VITAMINA E) 400UI CAPSULA BLANDA;5,10;3,10;8,40;34,00;Carga Seca
PX0002;HIERRO ELEMENTAL + ACIDO FOLICO 30MG+1MG CAPSULA BLANDA;5,10;3,10;8,40;25,00;Carga Seca
PX0084;VITAMINA A + VITAMINA E 50.000UI+150UI CAPSULA;5,10;3,10;7,40;29,00;Carga Seca
MR0087;CANDESARTAN 32MG TABLETA RECUBIERTA;4,90;3,10;12,50;27,00;Carga Seca
RM0047;OLOPATADINA 2MG/ML (0,2%) SOLUCION OFTALMICA;9,70;3,00;5,00;14,00;Carga Seca
AX0017;LISADO BACTERIANO LIOFILIZADO 7MG CAPSULA;9,5;3,00;14,00;36,00;Comerciales
VT0158;POLIETILENGLICOL + PROPILENGLICOL (4MG+3MG) /ML SOLUCION OFTALMICA;9,40;3,00;4,50;21,00;Carga Seca
SP0013;TOBRAMICINA + DEXAMETASONA (3MG+1MG) /ML (0,3%+0,1%) SUSPENSION OFTALMICA;9,00;3,00;4,8;19,00;Carga Seca
NVX019;ASCORBICO ACIDO (VIT C) 100MG/ML SOLUCION ORAL;9,00;3,00;3,00;47,00;Carga Seca
LP0049;SULFATO FERROSO 125MG/ML SOLUCION ORAL;9,00;3,00;3,00;37,00;Carga Seca
SVP039;CELECOXIB 200MG CAPSULA;9,00;3,00;16,00;37,00;Carga Seca
GE0004;GLICERINA CARBONATADA (0,3G+0,06G+0,009G) /100ML SOLUCION OTICA;9,00;3,00;3,00;20,00;Carga Seca
SP0014;DORZOLAMIDA + TIMOLOL + BRIMONIDINA (20MG+5MG+2MG) /ML SOLUCION OFTALMICA;9,00;3,00;4,7;20,00;Carga Seca
ALL030;ALCAFTADINA 2,5MG/ML SOLUCION OFTALMICA;9,00;3,00;4,5;14,00;Carga Seca
LQ0116;HIDROCORTISONA 0,5G/100G (0,5%) LOCION TOPICA;9,00;3,00;3,00;40,00;Carga Seca
QD0001;POLIACRILICO ACIDO 2,5MG/G (0,25%) GEL OFTALMICO;9,00;3,00;2,8;23,00;Carga Seca
GE0005;SUERO FISIOLOGICO 9MG/ML (0,9%) SOLUCION NASAL;9,00;3,00;3,00;38,00;Carga Seca
RE0020;METOCLOPRAMIDA 4MG/ML SOLUCION ORAL;9,00;3,00;3,00;40,00;Carga Seca
QB0009;SUERO FISIOLOGICO 9MG/ML (0,9%) SOLUCION NASAL;9,00;3,00;3,00;39,00;Carga Seca
LP0001;ACETAMINOFEN 100MG/ML SOLUCION ORAL;9,00;3,00;3,00;42,00;Carga Seca
SP0005;PREDNISOLONA 10MG/ML (1%) SUSPENSION OFTALMICA;9,00;3,00;4,7;19,00;Carga Seca
ALL036;TIMOLOL + BRIMONIDINA + BIMATOPROST (6,83MG+1,5MG+0,1MG) /ML SOLUCION OFTALMICA;9,00;3,00;4,5;19,00;Carga Seca
SVP035;VALGANCICLOVIR 450MG TABLETA RECUBIERTA;9,00;3,00;17,00;51,00;Comerciales
ALL040;TIMOLOL + BRIMONIDINA (5MG+2MG) /ML (0,5%+0,2%)  SOLUCION OFTALMICA;9,00;3,00;4,5;23,00;Carga Seca
BY0084;RIOCIGUAT 2,5MG COMPRIMIDO RECUBIERTO;9,00;3,00;13,00;47,00;Comerciales
ALL038;GATIFLOXACINA 5MG/ML (0,5%) SOLUCION OFTALMICA;9,00;3,00;4,5;17,00;Carga Seca
VP0062;ANFOTERICINA B 50MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;9,00;3,00;4,60;20,00;Cadena de Frio
GE0002;ASCORBICO ACIDO (VIT C) 100MG/ML SOLUCION ORAL;9,00;3,00;3,00;46,00;Carga Seca
BY0154;RIOCIGUAT 2,5MG COMPRIMIDO;9,00;3,00;13,00;48,00;Comerciales
BT0196;ERIBULINA 0,88MG/2ML (0,44MG/ML) SOLUCION INYECTABLE;9,00;3,00;9,00;32,00;Comerciales
TE0048;BENZOICO ACIDO + SALICILANILIDA + SALICILICO ACIDO (5G+2G+0,8G) /100ML SOLUCION TOPICA;8,60;3,00;3,00;34,00;Carga Seca
NO0042;VALSARTAN + HIDROCLOROTIAZIDA 80MG+12,5MG COMPRIMIDO;8,50;3,00;16,00;22,00;Carga Seca
FR0064;VACUNA ANTINEUMOCOCICA POLISACARIDA 23 POLIVALENTE SOLUCION INYECTABLE;8,50;3,00;4,50;19,00;Cadena de Frio
LP0150;AZITROMICINA 500MG TABLETA RECUBIERTA;8,5;3,00;16,2;94,00;Carga Seca
RM0111;HIALURONATO DE SODIO 4MG/ML (0.4%) SOLUCION OFTALMICA;8,5;3,00;4,00;21,00;Carga Seca
SP0023;TETRACAINA 5MG/ML (0,5%) SOLUCION OFTALMICA;8,5;3,00;3,2;23,00;Carga Seca
BIE019;KETOTIFENO 0,5MG/ML (5%) SOLUCION OFTALMICA;8,20;3,00;3,00;12,00;Carga Seca
VT0129;CARBOXIMETILCELULOSA 5MG/ML (0,5%) SOLUCION OFTALMICA;8,00;3,00;4,00;26,00;Carga Seca
NO0124;VILDAGLIPTINA 50MG TABLETA;8,00;3,00;11,50;18,00;Carga Seca
AL0016;TROPICAMIDA 10MG/ML (1%) SOLUCION OFTALMICA;8,00;3,00;3,5;28,00;Carga Seca
BIE010;HIDROXIPROPILMETILCELULOSA 3MG/ML (0,3%) SOLUCION OFTALMICA;8,00;3,00;3,00;12,00;Carga Seca
BIE016;BRIMONIDINA 2MG/ML (0,2%) SOLUCION OFTALMICA;8,00;3,00;3,00;13,00;Carga Seca
AL0025;PROXIMETACAINA 5MG/ML (0,5%) SOLUCION OFTALMICA;8,00;3,00;3,20;29,00;Cadena de Frio
CF0007;LEVOCETIRIZINA 5MG/ML SOLUCION ORAL;8,00;3,00;3,2;37,00;Carga Seca
